# sensor:linear_accelerometer
# Requested Sample Rate: 100 Hz
# Chart Presentation Rate: 30 Hz
# Inertial correction: sensor=linear_acceleration; operation=add; unit=m/s^2; x=0.0; y=0.0; z=0.0
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-09-13 17:45:20.738
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000000,-2.4881,-0.3539,-0.9945,2.70
0.010066,-2.8274,0.1021,-0.6803,2.91
0.020133,-2.4638,0.1077,-0.5905,2.54
0.030199,-1.6882,-0.1270,-0.3903,1.74
0.040265,-1.0496,-0.2976,-0.2175,1.11
0.050331,-0.7301,-0.3186,-0.0850,0.80
0.060398,-0.6045,-0.2961,-0.1284,0.69
0.070464,-0.5977,-0.3628,-0.3026,0.76
0.080530,-0.6313,-0.4718,-0.6162,1.00
0.090596,-0.6850,-0.5644,-0.9396,1.29
0.100663,-0.7222,-0.6328,-1.2293,1.56
0.110729,-0.7185,-0.7638,-1.3252,1.69
0.120795,-0.7612,-0.9095,-1.1765,1.67
0.130862,-0.8759,-1.0618,-0.6210,1.51
0.140928,-1.0428,-1.0200,-0.2120,1.47
0.150994,-1.0672,-0.9246,0.0665,1.41
0.161060,-0.8374,-0.9189,0.2825,1.27
0.171126,-0.4923,-0.9457,0.4644,1.16
0.181193,-0.2279,-0.8655,0.6770,1.12
0.191259,0.0179,-0.7310,0.6848,1.00
0.201325,0.2484,-0.7289,0.4069,0.87
0.211391,0.4370,-0.8726,0.3241,1.03
0.221457,0.4883,-0.9358,0.1993,1.07
0.231524,0.3764,-0.8267,-0.0653,0.91
0.241590,0.2848,-0.7413,-0.4011,0.89
0.251656,0.3206,-0.7170,-0.6728,1.03
0.261722,0.3706,-0.6627,-0.7928,1.10
0.271789,0.3865,-0.4551,-0.7945,0.99
0.281855,0.3230,-0.2340,-0.7929,0.89
0.291921,0.3115,-0.0632,-0.8702,0.93
0.301988,0.4524,-0.0623,-1.0683,1.16
0.312054,0.6936,-0.1706,-1.1188,1.33
0.322120,0.8204,-0.1930,-1.0360,1.34
0.332186,0.6940,-0.0921,-1.0009,1.22
0.342253,0.4668,0.1122,-1.0081,1.12
0.352319,0.3287,0.2158,-1.0137,1.09
0.362385,0.3972,0.1701,-0.7267,0.85
0.372451,0.4327,0.0502,-0.1105,0.45
0.382518,0.3039,0.0408,0.5291,0.61
0.392584,0.0921,0.1607,0.7939,0.82
0.402650,-0.0774,0.2319,0.8254,0.86
0.412716,-0.0688,0.1454,0.9314,0.95
0.422782,-0.0549,0.0759,1.0504,1.05
0.432849,-0.2804,0.2841,0.9167,1.00
0.442915,-0.5499,0.5920,0.6226,1.02
0.452981,-0.7446,0.8613,0.3159,1.18
0.463048,-0.7642,1.0670,-0.0696,1.31
0.473114,-0.4463,1.0765,-0.4492,1.25
0.483180,0.1776,0.8231,-0.7213,1.11
0.493246,0.9542,0.3300,-0.6555,1.20
0.503313,1.6049,-0.1361,-0.2066,1.62
0.513379,1.9708,-0.4522,0.2075,2.03
0.523445,2.0723,-0.6090,0.5033,2.22
0.533511,1.9437,-0.7318,0.7803,2.22
0.543578,1.7457,-0.8555,1.1793,2.27
0.553644,1.4279,-0.9336,1.5953,2.34
0.563710,1.0426,-0.9480,1.8714,2.34
0.573776,0.7228,-0.9919,2.1654,2.49
0.583843,0.5556,-1.0706,2.5164,2.79
0.593909,0.5625,-1.0413,2.6469,2.90
0.603975,0.8663,-1.1311,2.5195,2.89
0.614041,1.3385,-1.2930,2.2544,2.92
0.624108,1.7605,-1.4079,1.9138,2.96
0.634174,1.9608,-1.3817,1.5285,2.84
0.644240,2.0230,-1.3269,0.9667,2.61
0.654306,1.9741,-1.2885,0.5407,2.42
0.664373,1.7587,-1.3094,0.0706,2.19
0.674439,1.3965,-1.1966,-0.3767,1.88
0.684505,0.9701,-0.9843,-0.7539,1.57
0.694572,0.4334,-0.6639,-1.1143,1.37
0.704638,-0.0775,-0.3598,-1.5093,1.55
0.714704,-0.5482,-0.0904,-1.9048,1.98
0.724770,-0.9708,0.1610,-2.1220,2.34
0.734837,-1.3375,0.3926,-2.2314,2.63
0.744903,-1.6112,0.7085,-2.1673,2.79
0.754969,-1.8044,0.9234,-2.0444,2.88
0.765035,-1.9011,1.0010,-1.7938,2.80
0.775102,-1.8041,0.9704,-1.4473,2.51
0.785168,-1.5111,0.8089,-1.1985,2.09
0.795234,-1.2082,0.7666,-0.9707,1.73
0.805300,-0.9235,0.8202,-0.7810,1.46
0.815366,-0.5652,0.8248,-0.6112,1.17
0.825433,-0.1873,0.6892,-0.5072,0.88
0.835499,0.1732,0.3535,-0.3571,0.53
0.845565,0.8742,-0.7384,-0.4780,1.24
0.855632,0.6485,0.2268,-0.7256,1.00
0.865698,-0.0235,1.2625,0.0656,1.26
0.875764,-0.5560,1.4670,-0.0460,1.57
0.885830,-0.1070,0.3078,-0.3196,0.46
0.895897,0.5618,-0.6993,-1.3442,1.62
0.905963,-0.0699,0.3513,-1.4728,1.52
0.916029,-0.6676,1.0745,-1.3605,1.86
0.926095,0.0608,0.6991,-0.6701,0.97
0.936162,0.6336,-0.0709,-0.2852,0.70
0.946228,0.7992,-0.2650,0.1775,0.86
0.956294,0.7825,-0.2282,0.4694,0.94
0.966361,1.0187,-0.6262,0.8810,1.49
0.976427,0.5128,-0.5204,0.5554,0.92
0.986493,0.0194,-0.1634,0.2063,0.26
0.996559,0.8411,-0.1607,0.9100,1.25
1.006626,0.8913,-0.1631,0.4038,0.99
1.016692,1.6249,-0.5448,-0.2117,1.73
1.026758,2.1049,-0.0276,-0.0682,2.11
1.036824,1.6563,1.1040,0.7104,2.11
1.046891,1.1942,1.5545,1.2902,2.35
1.056957,1.0274,1.1974,0.7583,1.75
1.067023,1.0659,0.4975,-0.1138,1.18
1.077089,0.9427,-0.1868,-0.3891,1.04
1.087156,0.7199,-0.7183,-0.2090,1.04
1.097222,0.4683,-1.1364,-0.1260,1.24
1.107288,0.0642,-1.2208,-0.2958,1.26
1.117354,-0.4155,-1.0489,-0.5206,1.24
1.127421,-0.6381,-1.0120,-0.5572,1.32
1.137487,-0.9683,-0.4881,-0.6189,1.25
1.147553,-1.3166,0.0335,-0.8512,1.57
1.157619,-1.5726,0.4701,-0.9288,1.89
1.167686,-1.6868,0.7590,-0.9454,2.08
1.177752,-1.6215,0.8192,-1.1315,2.14
1.187818,-1.4116,0.7672,-1.3057,2.07
1.197885,-1.1690,0.6895,-1.4028,1.95
1.207951,-0.9283,0.5769,-1.3782,1.76
1.218017,-0.7488,0.5400,-1.2394,1.55
1.228083,-0.5823,0.5238,-1.0326,1.30
1.238150,-0.2692,0.2991,-0.7674,0.87
1.248216,0.0814,0.0374,-0.3486,0.36
1.258282,0.1512,-0.0371,0.1368,0.21
1.268349,0.0222,-0.0578,0.6907,0.69
1.278415,-0.1165,-0.2765,1.4525,1.48
1.288481,-0.2293,-0.6948,2.2795,2.39
1.298547,-0.3681,-1.0757,2.7736,3.00
1.308614,-0.5537,-1.2654,3.0122,3.31
1.318680,-0.6185,-1.3565,3.1502,3.49
1.328746,-0.5092,-1.3720,3.1445,3.47
1.338812,-0.2586,-1.3050,2.9457,3.23
1.348879,0.1363,-1.2625,2.6650,2.95
1.358945,0.5594,-1.2760,2.3660,2.75
1.369011,0.9189,-1.2268,1.9778,2.50
1.379078,1.1043,-1.1019,1.4416,2.12
1.389144,1.1733,-0.9984,0.8258,1.75
1.399210,1.2606,-0.9958,0.2766,1.63
1.409276,1.3132,-1.0594,-0.2099,1.70
1.419343,1.2216,-1.0369,-0.7005,1.75
1.429409,1.0596,-0.8785,-1.1395,1.79
1.439475,0.9467,-0.7507,-1.5180,1.94
1.449542,1.0081,-0.7633,-1.7743,2.18
1.459608,1.1188,-0.8072,-1.9722,2.41
1.469674,1.1835,-0.8258,-2.0649,2.52
1.479740,1.2529,-0.8130,-2.1426,2.61
1.489806,1.3109,-0.7965,-2.1968,2.68
1.499873,1.3248,-0.7672,-2.2324,2.71
1.509939,1.2475,-0.6777,-2.2317,2.64
1.520005,1.1757,-0.6286,-2.2359,2.60
1.530072,1.1183,-0.5898,-2.1864,2.53
1.540138,0.9701,-0.5084,-2.0926,2.36
1.550204,0.7444,-0.4137,-2.0491,2.22
1.560271,0.5803,-0.3943,-1.7759,1.91
1.570337,0.3504,-0.3742,-1.3660,1.46
1.580403,0.0597,-0.3114,-0.8970,0.95
1.590469,-0.1898,-0.2233,-0.4724,0.56
1.600535,-0.3770,-0.0835,-0.2064,0.44
1.610602,-0.4846,0.2082,-0.1075,0.54
1.620668,-0.4921,0.5627,-0.1317,0.76
1.630734,-0.1610,0.7907,0.0484,0.81
1.640801,0.4163,0.7756,0.5186,1.02
1.650867,1.1148,0.5579,0.9101,1.54
1.660933,1.5032,0.2516,1.3893,2.06
1.671000,1.4770,-0.0629,2.1421,2.60
1.681066,1.1945,-0.4820,2.9177,3.19
1.691132,0.7589,-1.0514,3.5252,3.76
1.701198,0.3099,-1.5833,3.8342,4.16
1.711265,-0.2680,-1.7923,3.9399,4.34
1.721331,-0.9399,-1.6781,3.8924,4.34
1.731397,-1.4638,-1.4124,3.7822,4.29
1.741463,-1.6871,-1.1492,3.6762,4.20
1.751530,-1.6564,-0.9274,3.7034,4.16
1.761596,-1.2523,-0.7438,3.7761,4.05
1.771662,-0.4707,-0.6889,3.7161,3.81
1.781729,0.4053,-0.7931,3.6066,3.71
1.791795,1.2236,-0.8916,3.5327,3.84
1.801861,1.8010,-0.9713,3.3424,3.92
1.811927,2.2403,-1.0351,2.7449,3.69
1.821994,2.4383,-1.1040,1.8791,3.27
1.832060,2.3213,-1.0932,0.9161,2.72
1.842126,2.0496,-1.0129,-0.0630,2.29
1.852193,1.7678,-0.9796,-0.9003,2.21
1.862259,1.4462,-1.0011,-1.6758,2.43
1.872325,1.1247,-0.9958,-2.3716,2.81
1.882391,0.8398,-0.9594,-2.8693,3.14
1.892458,0.5228,-0.9478,-3.2117,3.39
1.902524,0.1867,-0.9037,-3.3855,3.51
1.912590,-0.1324,-0.8334,-3.3983,3.50
1.922656,-0.4316,-0.7271,-3.2623,3.37
1.932723,-0.6442,-0.4805,-2.9498,3.06
1.942789,-0.7693,-0.1745,-2.6013,2.72
1.952855,-0.7836,0.0336,-2.3658,2.49
1.962922,-0.7876,0.2299,-2.1374,2.29
1.972988,-0.7459,0.4120,-1.8899,2.07
1.983054,-0.7018,0.5696,-1.6811,1.91
1.993120,-0.6569,0.7334,-1.4522,1.75
2.003187,-0.6299,0.8055,-1.3033,1.66
2.013253,-0.5918,0.8635,-1.1102,1.53
2.023319,-0.5668,0.8552,-0.8791,1.35
2.033386,-0.6664,0.8985,-0.7622,1.35
2.043452,-0.7773,0.9263,-0.6580,1.38
2.053518,-0.8369,0.8644,-0.4716,1.29
2.063584,-0.8335,0.8561,-0.2750,1.23
2.073651,-0.7623,0.8236,-0.1091,1.13
2.083717,-0.5723,0.7022,-0.0402,0.91
2.093783,-0.4223,0.5981,0.0196,0.73
2.103850,-0.3398,0.6731,0.0665,0.76
2.113916,-0.2165,0.6886,0.0858,0.73
2.123982,-0.0312,0.5555,0.0946,0.56
2.134048,0.0997,0.4690,0.0223,0.48
2.144115,0.1014,0.4520,-0.0574,0.47
2.154181,0.1124,0.4429,-0.0927,0.47
2.164247,0.1905,0.3863,-0.0854,0.44
2.174314,0.2283,0.3505,0.0152,0.42
2.184380,0.2182,0.3423,0.1076,0.42
2.194446,0.2468,0.2904,0.2347,0.45
2.204512,0.2898,0.2107,0.3789,0.52
2.214579,0.3635,0.1426,0.4565,0.60
2.224645,0.4004,0.1302,0.4883,0.64
2.234711,0.4171,0.0819,0.4495,0.62
2.244778,0.3391,0.0568,0.3802,0.51
2.254844,0.2347,0.0690,0.2497,0.35
2.264910,0.1406,0.0945,0.0783,0.19
2.274976,0.0090,0.2003,-0.1701,0.26
2.285043,-0.1362,0.3674,-0.4783,0.62
2.295109,-0.3380,0.5858,-0.7173,0.99
2.305175,-0.4639,0.7549,-0.8723,1.24
2.315242,-0.5094,0.9156,-1.0214,1.46
2.325308,-0.5157,1.0438,-1.0640,1.58
2.335374,-0.4789,1.1545,-1.0067,1.60
2.345441,-0.3375,1.1858,-0.8727,1.51
2.355507,-0.1482,1.1778,-0.6710,1.36
2.365573,0.1243,1.0789,-0.3863,1.15
2.375640,0.3386,0.8730,0.0204,0.94
2.385706,0.3892,0.6417,0.5215,0.91
2.395772,0.3577,0.3390,0.9617,1.08
2.405838,0.2519,-0.0745,1.1715,1.20
2.415905,-0.0354,-0.4644,1.3289,1.41
2.425971,-0.3773,-0.7808,1.4838,1.72
2.436037,-0.7092,-1.0561,1.5142,1.98
2.446103,-0.9136,-1.2973,1.4112,2.12
2.456170,-1.0678,-1.3829,1.1961,2.12
2.466236,-1.1274,-1.3113,0.9204,1.96
2.476302,-1.0599,-1.1573,0.6467,1.70
2.486369,-0.9377,-1.0178,0.4249,1.45
2.496435,-0.7967,-0.8982,0.2409,1.22
2.506501,-0.6211,-0.8201,0.1257,1.04
2.516568,-0.4521,-0.7789,0.0794,0.90
2.526634,-0.3741,-0.7496,0.0167,0.84
2.536700,-0.4380,-0.6445,0.0484,0.78
2.546767,-0.5558,-0.5882,0.0660,0.81
2.556833,-0.6169,-0.6217,0.1196,0.88
2.566899,-0.6262,-0.6875,0.1871,0.95
2.576965,-0.7061,-0.7241,0.4413,1.10
2.587032,-0.7626,-0.8040,0.7815,1.36
2.597098,-0.8121,-0.9424,1.1749,1.71
2.607164,-0.9035,-1.1156,1.5767,2.13
2.617231,-0.9637,-1.2830,1.9390,2.52
2.627297,-1.0077,-1.4752,2.1547,2.80
2.637363,-1.0511,-1.6429,2.1878,2.93
2.647429,-1.0473,-1.7865,2.1234,2.97
2.657496,-0.9690,-1.8275,2.0474,2.91
2.667562,-0.8090,-1.8479,1.8792,2.76
2.677628,-0.6382,-1.8711,1.6167,2.55
2.687695,-0.4034,-1.9023,1.2411,2.31
2.697761,-0.1157,-1.9559,0.7247,2.09
2.707827,0.1431,-1.9472,0.1741,1.96
2.717893,0.3628,-1.9029,-0.3903,1.98
2.727960,0.6259,-1.8605,-0.9102,2.16
2.738026,0.8338,-1.8367,-1.3839,2.45
2.748092,1.0010,-1.8051,-1.7743,2.72
2.758159,1.1295,-1.7195,-2.1342,2.96
2.768225,1.2490,-1.6174,-2.4374,3.18
